Include symbols,Price,Strike,Exp. date,Days to expiration,Options,Ask,Stock Score (Fundamental),Stock Score (Growth),Stock Score (Technical),Moneyness,IV Rank,Bid Ask Spread (single option),Breakeven,Max Loss,Max Loss %,Total Opt. Vol.
SPY,494.08,485.00,2024-03-08,23.6,+1 SPY 08-MAR-24 485 CALL,-13.91000,,,,-0.01837759,0.45436507,0.1200,0.009775745,13.91,0.028153336,8849145
QQQ,428.55,437.00,2024-02-20,6.6,+1 QQQ 20-FEB-24 437 CALL,-0.87000,,,,0.019717652,0.33333334,0.0100,0.021747755,0.87,0.0020301016,3342282.8
TSLA,184.02,185.00,2024-02-23,9.6,+1 TSLA 23-FEB-24 185 CALL,-5.00000,3,6,7,0.0053255083,0.13492064,0.1000,0.032496467,5,0.02717096,2190692.5
NVDA,721.28,720.00,2024-02-16,2.6,+1 NVDA 16-FEB-24 720 CALL,-14.90000,6,9,10,-0.001774623,0.96825397,0.4000,0.018883096,14.9,0.020657718,1555594.9
IWM,194.61,197.50,2024-03-08,23.6,+1 IWM 08-MAR-24 197.5 CALL,-3.59000,,,,0.014850213,0.875,0.0600,0.033297364,3.59,0.01844715,1468221.4
PLTR,24.01,24.00,2024-02-16,2.6,+1 PLTR 16-FEB-24 24 CALL,-0.57000,5,6,10,-0.00041649313,0.41269842,0.0100,0.023323616,0.57,0.023740107,1018696.7
AAPL,185.04,187.50,2024-02-23,9.6,+1 AAPL 23-FEB-24 187.5 CALL,-1.52000,6,7,9,0.013294423,0.32539684,0.0500,0.021508863,1.52,0.00821444,901622.2
AMD,171.54,170.00,2024-02-23,9.6,+1 AMD 23-FEB-24 170 CALL,-7.20000,5,6,10,-0.008977498,0.6230159,0.2500,0.03299522,7.2,0.04197272,826528.7
AMZN,168.64,167.50,2024-02-23,9.6,+1 AMZN 23-FEB-24 167.5 CALL,-3.75000,6,9,10,-0.006759962,0.21428572,0.1000,0.015476755,3.75,0.022236718,781318.2
META,460.12,465.00,2024-03-01,16.6,+1 META 01-MAR-24 465 CALL,-9.15000,6,9,10,0.0106059285,0.15079366,0.2500,0.030492045,9.15,0.019886116,727390.8
MSFT,406.32,405.00,2024-03-01,16.6,+1 MSFT 01-MAR-24 405 CALL,-8.25000,6,9,10,-0.003248671,0.23015873,0.1500,0.017055523,8.25,0.020304194,497358
GOOGL,145.14,146.00,2024-02-16,2.6,+1 GOOGL 16-FEB-24 146 CALL,-1.11000,7,8,10,0.0059253136,0.2579365,0.0400,0.013573102,1.11,0.0076477886,395702.2
TLT,92.35,91.50,2024-02-23,9.6,+1 TLT 23-FEB-24 91.5 CALL,-1.52000,,,,-0.009204115,0.23015873,0.0300,0.007255008,1.52,0.016459122,393774.4
HYG,76.57,77.00,2024-02-16,2.6,+1 HYG 16-FEB-24 77 CALL,-0.15000,,,,0.0056157764,0.76785713,0.0700,0.0075747683,0.15,0.0019589919,381051.6
SNAP,11.14,11.00,2024-02-23,9.6,+1 SNAP 23-FEB-24 11 CALL,-0.47000,3,7,7,-0.012567325,0.32539684,0.0200,0.02962298,0.47,0.042190302,340236.1
BABA,71.60,73.00,2024-02-23,9.6,+1 BABA 23-FEB-24 73 CALL,-1.28000,9,6,5,0.019553073,0.36507937,0.0800,0.037430167,1.28,0.017877094,327573.2
TQQQ,56.74,57.00,2024-02-23,9.6,+1 TQQQ 23-FEB-24 57 CALL,-1.85000,,,,0.0045823054,0.375,0.0600,0.03718717,1.85,0.032604862,325278.5
PYPL,58.26,59.00,2024-03-01,16.6,+1 PYPL 01-MAR-24 59 CALL,-1.60000,8,8,5,0.012701682,0.48412699,0.0500,0.04016478,1.6,0.027463097,282379.2
F,12.68,12.50,2024-02-23,9.6,+1 F 23-FEB-24 12.5 CALL,-0.30000,7,9,9,-0.014195584,0.34920636,0.0400,0.009463723,0.3,0.023659306,274222.9
KRE,46.83,47.00,2024-03-15,30.56,+1 KRE 15-MAR-24 47 CALL,-2.11000,,,,0.0036301515,0.5793651,0.2000,0.04868674,2.11,0.045056585,268302.3
SOFI,8.02,8.00,2024-02-16,2.6,+1 SOFI 16-FEB-24 8 CALL,-0.20000,3,5,9,-0.0024937657,0.3888889,0.0100,0.02244389,0.2,0.024937654,242988.1
FXI,22.20,22.00,2024-02-16,2.6,+1 FXI 16-FEB-24 22 CALL,-0.40000,,,,-0.009009009,0.9722222,0.0100,0.009009009,0.4,0.018018018,228296.2
DIS,110.46,112.00,2024-02-16,2.6,+1 DIS 16-FEB-24 112 CALL,-0.58000,6,9,9,0.013941699,0.26190478,0.0300,0.019192468,0.58,0.005250769,225035.8
BAC,32.75,33.00,2024-03-15,30.56,+1 BAC 15-MAR-24 33 CALL,-0.82000,7,5,7,0.007633588,0.4861111,0.0200,0.032671757,0.82,0.025038168,222991.7
SQQQ,11.80,12.00,2024-02-23,9.6,+1 SQQQ 23-FEB-24 12 CALL,-0.35000,,,,0.016949153,0.31349206,0.0200,0.04661017,0.35,0.029661017,216049.1